Series Description,3-month Treasury bill secondary market rate   discount basis
2015-11,0.12
2015-12,0.23
2016-01,0.26
2016-02,0.31
2016-03,0.29
2016-04,0.23
2016-05,0.27
2016-06,0.27
2016-07,0.30
2016-08,0.30
2016-09,0.29
2016-10,0.33
2016-11,0.45
2016-12,0.51
2017-01,0.51
2017-02,0.52
2017-03,0.74
2017-04,0.80
2017-05,0.89
2017-06,0.98
2017-07,1.07
2017-08,1.01
2017-09,1.03
2017-10,1.07
2017-11,1.23
2017-12,1.32
2018-01,1.41
2018-02,1.57
2018-03,1.70
2018-04,1.76
2018-05,1.86
2018-06,1.90
2018-07,1.96
2018-08,2.03
2018-09,2.13
2018-10,2.25
2018-11,2.33
2018-12,2.37
2019-01,2.37
2019-02,2.39
2019-03,2.40
2019-04,2.38
2019-05,2.35
2019-06,2.17
2019-07,2.10
2019-08,1.95
2019-09,1.89
2019-10,1.65
2019-11,1.54
2019-12,1.54
2020-01,1.52
2020-02,1.52
2020-03,0.29
2020-04,0.14
2020-05,0.13
2020-06,0.16
2020-07,0.13
2020-08,0.10
2020-09,0.11
2020-10,0.10
2020-11,0.09
